id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal;engajamento
4174;60;Anual;3;4;107.28;Baixo
4507;20;Trimestral;1;1;42.29;Baixo
1860;48;Mensal;20;1;54.57;Alto
2294;16;Mensal;16;2;28.61;Médio
2130;33;Trimestral;2;2;52.06;Baixo
2095;47;Anual;2;1;82.09;Baixo
4772;62;Trimestral;3;2;148.77;Baixo
4092;64;Mensal;8;5;99.63;Baixo
2638;26;Trimestral;24;4;29.89;Alto
3169;36;Trimestral;15;4;6.74;Médio
1466;41;Trimestral;7;1;18.95;Baixo
2238;40;Mensal;6;3;84.38;Baixo
1330;37;Trimestral;9;1;114.77;Baixo
2482;42;Trimestral;20;2;141.06;Alto
3135;64;Anual;1;3;2.37;Baixo
4444;28;Mensal;8;2;78.41;Baixo
4171;48;Trimestral;23;5;70.63;Alto
3919;49;Anual;23;2;98.41;Alto
4735;56;Mensal;3;5;83.94;Baixo
1130;50;Anual;4;5;103.06;Baixo
2685;16;Trimestral;26;2;98.71;Alto
4380;36;Mensal;25;2;17.55;Alto
1769;63;Mensal;15;5;119.96;Médio
3391;21;Trimestral;6;3;18.48;Baixo
2515;43;Mensal;15;5;104.78;Médio
4485;32;Trimestral;21;4;62.42;Alto
3853;20;Mensal;3;5;77.08;Baixo
3433;46;Trimestral;25;3;135.49;Alto
2215;20;Mensal;21;4;133.48;Alto
1955;53;Anual;21;1;122.68;Alto
3324;18;Anual;14;1;76.52;Médio
2184;38;Anual;20;3;110.44;Alto
1459;52;Trimestral;14;5;76.93;Médio
4385;52;Mensal;4;2;130.44;Baixo
1021;25;Trimestral;12;3;60.42;Médio
3300;25;Mensal;17;4;145.54;Médio
1747;34;Mensal;7;4;139.85;Baixo
3904;32;Mensal;9;1;111.24;Baixo
4632;36;Mensal;3;4;41.91;Baixo
1474;29;Trimestral;13;3;19.75;Médio
2082;24;Trimestral;15;4;128.21;Médio
3558;61;Mensal;18;3;24.8;Médio
4753;16;Mensal;19;2;128.14;Médio
3047;60;Anual;1;1;73.61;Baixo
4547;28;Mensal;6;4;60.98;Baixo
3747;19;Mensal;27;3;135.48;Alto
1975;16;Mensal;27;5;90.58;Alto
2806;64;Trimestral;23;1;86.49;Alto
1189;55;Trimestral;27;2;83.81;Alto
4005;47;Mensal;27;3;55.68;Alto
3734;49;Mensal;2;2;117.85;Baixo
4005;43;Trimestral;24;2;37.92;Alto
1562;46;Trimestral;14;4;140.83;Médio
2899;23;Mensal;6;4;134.1;Baixo
4638;54;Anual;14;3;50.62;Médio
2267;41;Mensal;4;5;109.42;Baixo
3879;49;Mensal;21;3;85.98;Alto
2528;18;Anual;8;5;50.65;Baixo
4202;27;Mensal;3;2;148.28;Baixo
4556;16;Trimestral;19;1;3.79;Médio
4890;59;Mensal;14;3;37.9;Médio
1646;20;Mensal;27;3;78.01;Alto
3068;45;Anual;20;5;78.29;Alto
3888;45;Mensal;17;2;88.34;Médio
3214;32;Anual;25;2;112.75;Alto
2297;63;Mensal;8;5;93.52;Baixo
3435;62;Mensal;24;2;90.04;Alto
1600;38;Mensal;14;4;8.03;Médio
3363;30;Trimestral;26;1;56.48;Alto
3061;52;Mensal;6;3;34.81;Baixo
1241;36;Anual;23;1;39.81;Alto
3041;29;Mensal;22;3;83.15;Alto
3824;17;Anual;16;4;29.93;Médio
4417;26;Mensal;25;2;44.09;Alto
3612;54;Anual;19;5;35.56;Médio
3945;53;Trimestral;14;4;142.28;Médio
2363;49;Trimestral;19;1;141.7;Médio
3139;53;Anual;3;5;91.49;Baixo
2390;49;Trimestral;10;2;138.68;Médio
4003;33;Trimestral;19;4;117.87;Médio
2478;45;Mensal;9;5;88.49;Baixo
4499;30;Mensal;20;4;0.97;Alto
3556;42;Anual;13;4;115.88;Médio
1775;49;Trimestral;7;2;105.37;Baixo
1034;53;Trimestral;14;3;92.29;Médio
3253;48;Mensal;9;5;114.06;Baixo
4152;39;Mensal;27;2;76.94;Alto
2955;30;Mensal;23;4;105.61;Alto
2585;45;Trimestral;25;2;140.28;Alto
4943;57;Mensal;19;3;56.37;Médio
4459;32;Mensal;15;5;106.22;Médio
4073;20;Mensal;20;3;71.35;Alto
2021;44;Mensal;14;1;101.16;Médio
4461;19;Trimestral;24;5;114.43;Alto
3613;25;Mensal;6;3;6.82;Baixo
2129;32;Trimestral;21;4;96.99;Alto
4843;25;Mensal;4;5;34.01;Baixo
4893;32;Mensal;8;5;100.5;Baixo
2500;35;Mensal;17;2;70.25;Médio
1702;39;Mensal;9;4;116.03;Baixo
3449;20;Mensal;1;1;18.51;Baixo
3777;49;Mensal;24;3;93.95;Alto
2579;21;Trimestral;20;2;41.77;Alto
1161;17;Mensal;25;3;127.95;Alto
1201;28;Trimestral;14;1;139.26;Médio
2981;58;Anual;11;1;149.46;Médio
1995;58;Trimestral;21;5;119.4;Alto
3317;63;Mensal;3;1;113.06;Baixo
4934;26;Mensal;9;3;32.33;Baixo
1815;62;Mensal;27;4;50.4;Alto
4342;38;Mensal;14;4;69.85;Médio
1455;31;Anual;9;5;116.01;Baixo
4533;46;Mensal;4;3;137.24;Baixo
4798;26;Mensal;27;3;28.37;Alto
2275;31;Trimestral;4;1;138.36;Baixo
2016;23;Trimestral;8;3;104.34;Baixo
4773;19;Trimestral;2;2;91.62;Baixo
3343;55;Mensal;9;1;29.98;Baixo
4796;19;Mensal;14;2;8.33;Médio
3767;40;Trimestral;22;5;85.27;Alto
4820;18;Mensal;9;4;97.73;Baixo
1337;47;Mensal;24;5;31.62;Alto
1878;18;Mensal;23;4;83.47;Alto
2076;42;Mensal;16;5;128.47;Médio
1791;44;Mensal;17;3;125.26;Médio
4993;47;Mensal;16;2;139.1;Médio
3264;34;Trimestral;12;4;54.88;Médio
1763;36;Trimestral;3;1;47.71;Baixo
3235;20;Anual;11;2;112.41;Médio
1379;33;Mensal;14;1;64.67;Médio
1492;43;Mensal;18;2;13.13;Médio
4112;57;Mensal;21;2;42.42;Alto
2180;37;Trimestral;21;5;62.79;Alto
3062;36;Trimestral;5;4;43.88;Baixo
4884;21;Mensal;16;4;49.83;Médio
1064;16;Anual;20;2;44.07;Alto
4928;20;Mensal;5;3;6.22;Baixo
4910;56;Trimestral;3;3;95.56;Baixo
3568;27;Trimestral;12;1;89.59;Médio
2367;41;Anual;1;1;98.01;Baixo
2152;61;Trimestral;21;5;28.85;Alto
3027;49;Anual;9;2;44.35;Baixo
3695;64;Mensal;9;1;92.94;Baixo
2495;29;Anual;4;1;89.94;Baixo
4134;41;Mensal;3;2;75.95;Baixo
2162;60;Anual;17;5;52.56;Médio
2522;42;Trimestral;2;1;136.94;Baixo
3640;24;Anual;24;5;50.97;Alto
1391;41;Mensal;1;4;68.34;Baixo
2698;62;Trimestral;8;5;101.72;Baixo
1418;37;Trimestral;13;3;81.45;Médio
3336;62;Trimestral;23;3;52.03;Alto
1378;45;Mensal;15;5;65.35;Médio
2796;58;Mensal;8;3;119.17;Baixo
4561;63;Mensal;12;4;41.72;Médio
3278;32;Mensal;22;2;21.34;Alto
4065;41;Anual;12;3;46.97;Médio
3088;51;Mensal;14;3;127.43;Médio
4099;16;Anual;15;5;13.35;Médio
3182;23;Mensal;15;4;148.75;Médio
1200;64;Mensal;9;2;81.15;Baixo
2863;50;Trimestral;19;5;147.73;Médio
1779;30;Trimestral;26;5;140.85;Alto
3977;62;Mensal;20;4;67.92;Alto
4104;37;Trimestral;22;2;29.77;Alto
4119;29;Trimestral;8;4;24.73;Baixo
1502;41;Mensal;21;2;36.0;Alto
3454;43;Anual;19;4;106.52;Médio
4645;38;Anual;6;5;40.94;Baixo
2751;29;Trimestral;20;5;51.21;Alto
1804;39;Mensal;25;1;67.32;Alto
3146;17;Trimestral;19;3;136.98;Médio
3731;60;Mensal;4;4;28.41;Baixo
2895;41;Mensal;23;1;0.75;Alto
3773;29;Mensal;7;3;9.01;Baixo
2570;22;Mensal;4;4;135.71;Baixo
1960;18;Anual;22;2;97.13;Alto
4810;62;Trimestral;12;3;40.96;Médio
3660;38;Trimestral;13;5;26.58;Médio
2485;61;Mensal;3;1;44.14;Baixo
3690;58;Mensal;22;3;17.22;Alto
4840;62;Mensal;12;3;141.23;Médio
2028;60;Anual;2;5;117.63;Baixo
4289;33;Mensal;24;4;69.36;Alto
1502;53;Anual;2;2;129.74;Baixo
3814;50;Trimestral;27;5;37.42;Alto
1397;30;Mensal;23;2;107.57;Alto
1870;40;Trimestral;9;4;128.42;Baixo
3842;52;Mensal;1;3;53.52;Baixo
1392;43;Anual;8;2;113.62;Baixo
1206;25;Anual;23;1;44.26;Alto
2038;54;Mensal;6;1;44.83;Baixo
2881;32;Mensal;6;5;16.06;Baixo
4625;54;Trimestral;22;4;66.01;Alto
