id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal
4174;60;Anual;3;4;107.28
4507;20;Trimestral;1;1;42.29
1860;48;Mensal;20;1;54.57
2294;16;Mensal;16;2;28.61
2130;33;Trimestral;2;2;52.06
2095;47;Anual;2;1;82.09
4772;62;Trimestral;3;2;148.77
4092;64;Mensal;8;5;99.63
2638;26;Trimestral;24;4;29.89
3169;36;Trimestral;15;4;6.74
1466;41;Trimestral;7;1;18.95
2238;40;Mensal;6;3;84.38
1330;37;Trimestral;9;1;114.77
2482;42;Trimestral;20;2;141.06
3135;64;Anual;1;3;2.37
4444;28;Mensal;8;2;78.41
4171;48;Trimestral;23;5;70.63
3919;49;Anual;23;2;98.41
4735;56;Mensal;3;5;83.94
1130;50;Anual;4;5;103.06
2685;16;Trimestral;26;2;98.71
4380;36;Mensal;25;2;17.55
1769;63;Mensal;15;5;119.96
3391;21;Trimestral;6;3;18.48
2515;43;Mensal;15;5;104.78
4485;32;Trimestral;21;4;62.42
3853;20;Mensal;3;5;77.08
3433;46;Trimestral;25;3;135.49
2215;20;Mensal;21;4;133.48
1955;53;Anual;21;1;122.68
3324;18;Anual;14;1;76.52
2184;38;Anual;20;3;110.44
1459;52;Trimestral;14;5;76.93
4385;52;Mensal;4;2;130.44
1021;25;Trimestral;12;3;60.42
3300;25;Mensal;17;4;145.54
1747;34;Mensal;7;4;139.85
3904;32;Mensal;9;1;111.24
4632;36;Mensal;3;4;41.91
1474;29;Trimestral;13;3;19.75
2082;24;Trimestral;15;4;128.21
3558;61;Mensal;18;3;24.8
4753;16;Mensal;19;2;128.14
3047;60;Anual;1;1;73.61
4547;28;Mensal;6;4;60.98
3747;19;Mensal;27;3;135.48
1975;16;Mensal;27;5;90.58
2806;64;Trimestral;23;1;86.49
1189;55;Trimestral;27;2;83.81
4005;47;Mensal;27;3;55.68
3734;49;Mensal;2;2;117.85
4005;43;Trimestral;24;2;37.92
1562;46;Trimestral;14;4;140.83
2899;23;Mensal;6;4;134.1
4638;54;Anual;14;3;50.62
2267;41;Mensal;4;5;109.42
3879;49;Mensal;21;3;85.98
2528;18;Anual;8;5;50.65
4202;27;Mensal;3;2;148.28
4556;16;Trimestral;19;1;3.79
4890;59;Mensal;14;3;37.9
1646;20;Mensal;27;3;78.01
3068;45;Anual;20;5;78.29
3888;45;Mensal;17;2;88.34
